dataset,features_percent,fs_func,pipeline_ops,depth,fold,stage,rmse,mae,r2
Gd_ctopo_fp_cmplx,all,none,['ridge'],1,,train_test,3.7000244221253884,2.905023586095317,0.2943249608758559
Gd_ctopo_fp_cmplx_da,all,none,['svr'],1,,train_test,3.804128869916897,3.073609974559828,0.2540563584967481
Gd_ctopo_fp_cmplx_da_bonds,all,none,"['resample', 'pca', 'normalization', 'ridge']",4,,train_test,3.825553988041955,2.9988089725840292,0.24563028416866695
Gd_ctopo_fp_cmplx_da_sub,all,none,['ridge'],1,,train_test,3.5778469317177755,2.8250611705967676,0.340159318552803
Gd_ctopo_fp_cmplx_da_sub_bonds,all,none,"['catboostreg', 'linear', 'lasso']",3,,train_test,4.1230027245888206,3.1275740541475554,0.12376051725780735
Gd_ctopo_fp_cmplx_full,all,none,"['resample', 'catboostreg', 'svr']",3,,train_test,4.06467894230863,3.09857347687298,0.14837565123648289
Gd_ctopo_fp_ligand,all,none,"['resample', 'lgbmreg', 'svr']",3,,train_test,3.8247104583573828,2.9980138777704806,0.24596292257612784
Gd_ctopo_fp_skl,all,none,"['dtreg', 'ransac_lin_reg', 'catboostreg']",3,,train_test,3.845037555160412,3.047316540844892,0.23792669872349792
Gd_ctopo_fp_skl_da,all,none,"['resample', 'scaling', 'ridge']",3,,train_test,3.875199071145345,3.0110284186302763,0.2259239876281034
Gd_ctopo_fp_skl_da_bonds,all,none,"['svr', 'ridge', 'isolation_forest_reg', 'lasso']",3,,train_test,3.811478879433626,3.0845033971807267,0.25117107797936256
Gd_ctopo_fp_skl_da_skl,all,none,['ridge'],1,,train_test,3.8612891401774663,3.0857538676827416,0.23147106747701318
Gd_ctopo_fp_skl_da_skl_bonds,all,none,"['isolation_forest_reg', 'normalization', 'ridge']",3,,train_test,3.8509160368642763,3.127333501722823,0.23559472750656862
Gd_ctopo_fp_topo,all,none,"['resample', 'lgbmreg', 'rfr']",3,,train_test,4.381315774589667,3.683981333614024,0.010525320564189089
Gd_ctopo_fp_topo_da,all,none,"['resample', 'isolation_forest_reg', 'sgdr']",3,,train_test,3.9181895031073046,3.1442032595936436,0.2086539328915067
